id,n1,n2,n3,n4,n5,n6,sp
96001,13,21,23,27,31,49,19
96002,12,19,23,42,44,48,33
96003,26,28,35,39,44,45,18
96004,10,16,26,38,31,33,44
96005,13,28,33,38,43,48,4
96006,6,26,27,44,45,46,2
96007,6,7,15,31,36,44,29
96008,8,13,18,26,34,36,17
96009,6,18,26,39,42,45,14
96010,7,8,10,12,47,48,38
96011,12,16,26,32,41,48,1
96012,7,28,30,41,45,48,44
96013,2,8,25,39,43,46,13
96014,18,19,27,34,44,48,37
96015,1,13,19,33,38,45,36
96016,5,13,25,30,39,48,36
96017,6,22,36,39,48,49,28
96018,12,15,24,32,39,49,6
96019,2,15,16,31,33,46,40
96020,12,14,20,21,23,31,45
96021,4,13,22,24,26,41,28
96022,28,35,36,38,43,49,47
96023,14,15,25,37,47,49,13
96024,5,6,17,19,20,32,18
96025,4,11,21,39,42,43,10
96026,14,31,33,40,45,46,49
96027,4,10,39,43,45,49,33
96028,10,18,22,34,35,37,41
96029,2,4,6,20,42,47,39
96030,5,15,23,28,31,33,49
96031,8,31,40,44,45,48,6
96032,9,15,16,19,44,49,37
96033,8,20,22,25,38,40,41
96034,9,10,29,32,38,42,37
96035,21,24,28,34,45,49,46
96036,6,22,34,38,40,44,15
96037,1,16,27,28,41,46,38
96038,10,13,21,26,29,47,49
96039,13,31,35,40,47,48,39
96040,11,12,27,41,43,46,36
96041,1,18,30,32,41,48,24
96042,2,11,13,25,34,36,38
96043,10,15,18,43,45,48,11
96044,7,8,11,25,34,43,16
96045,1,16,23,25,36,47,21
96046,1,2,11,26,28,46,16
96047,3,5,20,38,39,44,43
96048,11,17,28,34,36,46,26
96049,20,28,33,41,43,45,10
96050,13,32,35,39,41,42,1
96051,18,24,37,38,43,47,2
96052,9,23,26,28,29,44,31
96053,1,5,9,21,24,49,35
96054,9,12,23,36,44,48,26
96055,2,29,34,40,44,45,1
96056,5,10,13,18,34,35,15
96057,15,29,37,39,48,49,46
96058,2,5,10,19,23,25,11
96059,1,7,12,22,29,31,4
96060,13,21,32,39,42,46,36
96061,1,6,7,25,39,41,5
96062,2,12,15,27,38,40,35
96063,1,5,18,25,35,41,14
96064,11,22,27,29,35,40,48
96065,2,5,12,25,26,38,6
96066,2,12,31,35,43,47,40
96067,16,24,25,38,42,46,6
96068,4,6,7,12,25,47,9
96069,2,11,22,29,34,39,45
96070,23,31,35,40,41,44,21
96071,9,17,18,21,42,48,7
96072,3,5,22,32,42,49,28
96073,3,14,18,22,28,36,47
96074,2,15,22,27,45,48,32
96075,20,25,29,31,37,46,49
96076,1,16,24,31,35,39,21
96077,8,10,12,28,38,42,33
96078,8,9,16,17,19,30,45
96079,3,4,8,9,24,49,23
96080,3,10,19,26,29,48,18
96081,9,36,38,40,46,47,13
96082,9,20,23,26,28,37,44
96083,5,7,11,18,38,40,31
96084,15,17,22,28,36,46,24
96085,10,25,29,34,47,49,17
96086,3,11,13,16,21,36,26
96087,1,4,9,17,19,41,7
96088,4,10,28,44,45,48,39
96089,1,10,27,40,43,44,2
96090,1,2,6,12,18,24,25
96091,3,5,16,17,32,37,24
96092,16,20,22,39,42,46,38
96093,1,16,17,20,22,42,29
96094,1,22,23,43,46,49,33
96095,8,12,16,34,36,47,33
96096,8,15,16,19,30,45,44
96097,1,16,31,38,43,44,42
96098,8,10,17,28,32,34,42
96099,10,15,16,20,27,43,19
96100,1,17,26,27,34,39,13
96101,4,7,13,19,23,49,17
96102,15,19,20,22,28,44,42
96103,5,6,9,18,31,37,32
96104,10,12,16,18,22,29,30
97001,13,18,27,43,47,48,21
97002,5,13,29,31,39,40,33
97003,3,7,12,17,28,44,36
97004,3,7,8,27,37,49,48
97005,5,8,10,31,32,41,11
97006,6,8,18,25,26,36,13
97007,9,13,14,26,30,37,5
97008,1,4,15,20,24,40,32
97009,21,34,38,41,42,49,25
97010,1,2,6,18,20,38,29
97011,17,29,30,33,35,42,10
97012,1,3,6,7,15,27,39
97013,5,12,19,22,25,27,29
97014,1,22,31,41,42,46,36
97015,16,22,26,31,39,43,9
97016,1,3,7,12,30,43,22
97017,6,16,33,37,40,47,28
97018,1,7,9,10,18,27,43
97019,1,15,22,25,38,47,16
97020,12,25,28,40,41,42,29
97021,7,8,21,30,36,44,4
97022,3,21,30,34,44,49,13
97023,1,9,27,33,38,49,31
97024,11,14,27,32,34,49,28
97025,2,3,5,13,33,49,10
97026,1,8,9,12,19,26,49
97027,8,16,24,25,32,33,12
97028,13,23,28,30,38,44,26
97029,11,23,29,32,37,39,31
97030,5,6,23,25,28,42,43
97031,13,20,32,33,43,47,28
97032,4,13,25,35,38,43,30
97033,10,15,31,36,44,49,7
97034,4,15,20,45,47,48,34
97035,2,3,11,32,35,42,18
97036,11,13,14,33,39,45,41
97037,9,10,15,23,46,48,38
97038,15,17,23,36,43,48,21
97039,11,31,37,38,41,47,18
97040,3,7,21,22,26,40,41
97041,8,14,17,42,45,47,39
97042,2,10,11,29,37,44,13
97043,4,7,15,24,41,49,30
97044,8,11,12,20,32,42,30
97045,1,20,24,27,29,31,4
97046,1,20,22,31,40,42,38
97047,14,19,20,22,34,39,37
97048,7,8,20,21,31,39,6
97049,1,7,15,32,40,41,9
97050,3,20,21,24,28,39,23
97051,2,7,8,20,33,43,4
97052,1,2,9,10,38,41,31
97053,15,20,24,35,43,48,9
97054,6,10,17,21,43,49,33
97055,14,23,32,33,36,42,3
97056,7,21,22,23,34,36,11
97057,6,16,21,36,37,45,40
97058,4,6,9,15,20,38,27
97059,1,17,25,29,30,33,47
97060,7,19,25,29,35,43,1
97061,16,39,41,42,43,45,14
97062,7,11,18,22,37,38,30
97063,5,10,29,41,44,45,6
97064,8,16,20,33,35,49,24
97065,16,22,24,33,43,49,45
97066,8,14,23,24,43,44,4
97067,2,16,25,35,39,43,26
97068,4,5,8,26,31,37,10
97069,2,4,6,18,23,24,32
97070,2,24,25,26,28,46,49
97071,2,3,10,21,25,34,47
97072,2,3,14,22,32,33,24
97073,10,23,27,28,35,46,2
97074,1,9,16,18,34,37,12
97075,2,25,31,32,44,46,7
97076,2,13,23,28,35,48,18
97077,2,9,20,22,29,35,38
97078,15,29,30,36,41,42,39
97079,1,7,9,13,22,27,34
97080,18,19,37,41,45,48,9
97081,1,20,28,29,33,34,40
97082,13,14,20,24,41,47,6
97083,8,28,30,43,44,46,12
97084,5,11,15,19,28,36,46
97085,2,4,7,8,18,30,33
97086,5,6,8,9,14,49,3
97087,2,7,12,14,36,41,35
97088,1,3,9,11,19,47,40
97089,11,13,19,20,32,40,9
97090,15,25,30,33,40,46,18
97091,11,13,33,34,39,45,15
97092,7,15,23,35,36,43,8
97093,14,17,20,29,34,39,7
97094,16,17,21,28,30,37,9
97095,4,15,26,39,46,49,11
97096,1,5,7,16,17,41,20
97097,7,21,29,30,37,49,36
97098,2,3,8,31,40,44,45
97099,1,5,6,16,26,41,48
97100,2,28,34,36,39,42,24
97101,14,25,26,35,39,40,37
97102,3,10,15,30,38,45,41
97103,2,7,23,25,39,45,22
97104,8,15,18,33,37,40,32
97105,3,9,25,26,36,39,35
98001,2,6,23,26,35,38,11
98002,4,15,20,21,29,33,16
98003,4,15,27,30,37,45,19
98004,4,11,18,33,47,48,30
98005,8,24,25,26,33,40,13
98006,7,21,22,23,40,43,34
98007,10,11,21,28,38,40,29
98008,13,14,27,32,35,38,48
98009,2,5,10,23,39,41,48
98010,3,10,14,23,42,43,34
98011,4,7,10,21,27,32,37
98012,9,12,18,30,46,48,42
98013,2,3,7,24,42,45,10
98014,5,16,21,22,36,43,28
98015,1,13,24,34,40,49,37
98016,4,11,23,25,38,46,17
98017,13,17,19,26,34,36,2
98018,7,14,26,28,34,45,9
98019,6,13,21,26,31,32,30
98020,9,13,26,28,36,38,46
98021,9,24,32,45,46,47,33
98022,1,5,18,23,29,35,27
98023,2,7,9,11,18,31,5
98024,2,7,18,21,25,29,32
98025,1,2,18,28,34,40,25
98026,13,16,23,25,31,47,36
98027,6,33,36,42,44,45,48
98028,3,12,24,31,43,46,42
98029,8,9,25,36,40,44,17
98030,2,8,20,23,45,48,43
98031,16,18,21,22,24,38,34
98032,11,16,23,27,36,39,35
98033,13,20,21,24,42,49,43
98034,5,18,29,30,39,43,26
98035,3,5,21,26,38,43,32
98036,12,15,37,42,45,47,29
98037,3,15,19,22,24,31,5
98038,1,3,20,26,39,44,30
98039,5,7,14,15,18,45,11
98040,11,31,32,38,46,48,42
98041,1,2,16,18,32,40,15
98042,3,8,33,39,41,48,32
98043,21,29,30,34,36,45,49
98044,11,12,20,28,34,46,41
98045,6,23,27,42,44,49,15
98046,26,27,35,36,44,49,42
98047,12,13,32,41,43,44,21
98048,3,5,8,10,25,30,15
98049,2,12,19,23,40,42,9
98050,6,21,22,29,43,49,48
98051,6,12,33,38,43,45,49
98052,4,7,9,21,26,34,28
98053,17,19,32,40,41,47,37
98054,2,25,31,37,39,47,35
98055,3,8,21,26,30,46,11
98056,4,5,15,37,41,44,8
98057,9,11,13,16,38,42,6
98058,5,17,27,28,39,48,44
98059,1,3,7,22,40,47,15
98060,2,10,13,15,25,49,4
98061,4,7,9,10,24,42,41
98062,2,21,23,27,44,48,30
98063,1,2,15,26,31,49,43
98064,3,24,27,28,30,46,42
98065,4,8,15,26,39,49,34
